Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-16,0.2,4,Fierce Impact (JPN),Matthew Smith,M Zahra,59,5,3-3-5-4,$3.8-$4.2,$4
2-16,0.2,13,Russian Camelot (IRE),D T O'Brien,D Oliver,57.5,14,8-8-6-2,$5-$4,$4.60
3-16,1.7,8,So Si Bon,T Dabernig & B Hayes,D W Stackhouse,59,16,11-11-10-10,$26,$31
4-16,1.8,9,Master Of Wine (GER),"M, W & J Hawkes",M Rodd,59,10,7-7-7-7,$10,$10
5-16,1.9,11,Dalasan,L Macdonald & A Gluyas,J Childs,58.5,8,2-2-2-1,$12,$15
6-16,2.6,3,Harlem (GB),T Dabernig & B Hayes,J Mott,59,6,1-1-1-3,$41,$41
7-16,3.1,10,Warning,A & S Freedman,W Egan,58.5,9,12-12-9-8,$51-$101,$91
8-16,3.2,14,Perfect Jewel,G & A Williams,W Pike,57,2,6-6-8-9,$5.50,$4.80
9-16,4.7,1,Vow And Declare,D T O'Brien,C Williams,59,11,10-10-12-13,$41,$31
10-16,4.9,7,Kings Will Dream (IRE),C J Waller,Jye Mc Neil,59,15,15-15-13-11,$10,$13
11-16,5.1,6,Levendi,Peter Gelagotis,J Maskiell,59,1,5-5-4-5,$101,$151
12-16,6.1,15,Princess Jenni (NZ),D R Brideoake,E Brown,57,12,13-13-15-14,$41,$41
13-16,7.1,2,Gailo Chop (FR),M J Williams,J Allen,59,3,9-9-11-12,$61,$71
14-16,8.4,12,Quick Thinker,M Baker & A Forsman,M J Dee,58.5,13,4-4-3-6,$31,$61
15-16,58.4,16,Miami Bound (NZ),D T O'Brien,B Melham,56.5,7,14-14-14-15,$26,$31
99-16,0,5,Gatting,P G Moody,L Nolen,59,4,,$31-$41,$31