1,2,3,4,5,6,7,8,9,10,11,12,13
1-13,2-13,3-13,4-13,5-13,6-13,7-13,8-13,9-13,10-13,11-13,12-13,13-13
1.5,1.5,2.3,2.4,2.5,2.8,3.6,3.8,4.5,5.5,5.7,5.8,6
7,6,15,9,4,10,2,14,8,11,5,1,3
Behemoth,Mr Quickie,Glenfiddich,Cascadian (GB),So Si Bon,Begood Toya Mother,Harlem (GB),Princess Jenni (NZ),Iconoclasm,Mystic Journey,Streets Of Avalon,Regal Power,Gatting
D R Jolly,P Stokes,P G Moody,James Cummings,T Dabernig & B Hayes,Daniel Bowman,T Dabernig & B Hayes,D R Brideoake,D T O'Brien,Adam Trinder,S P Nichols,G & A Williams,P G Moody
C Williams,D Dunn,C Newitt,D Oliver,D W Stackhouse,D Bates,J Mott,E Brown,D Moor,W Egan,B Melham,W Pike,L Nolen
59,59,50.5,59,59,59,59,57,59,57,59,59,59
2,5,10,8,3,7,6,12,1,4,13,9,11
4-4-2003,9-9-2008,3-3-2004,13-13-13,5-6-2006,1-2-2001,11-12-10,10-10-12,7-7-2007,6-5-2005,2-1-2002,8-8-2009,12-11-11
$3.4-$3.8,$12-$11,$7.5-$5.5,$5.50,$21,$19,$101-$151,$31,$61,$7.50,$12,$11,$31-$41
$3.30,$14,$6,$6,$21,$21,$101,$51,$81,$8,$15,$12,$31