Trainer,Jockey,Weight,Bar,In Run,Flucs,Price,Notes,,,,
,1-10,3.5,6,Dance Date,Ms K Durden,Zac Spain,57,1,,,$5.50
,2-10,3.5,2,Raffine,Archie Alexander,M Lloyd,58,6,,,$2.15
,3-10,4,10,Telemarketer,Julie Scott,D Holland,56,10,,,$13
,4-10,5.2,3,Enrico Pallazzo,L & T Corstens,J Allen,58.5,4,,,$18
,5-10,5.3,7,Wynsome Maid,K & K Keys,E Brown,54,7,,,$31
,6-10,8.3,8,VIV Said No,Shay Keating,J Fry,56.5,9,,,$101
,6-10,8.3,4,Sodalite,Shea Eden,D Dunn,58.5,3,,,$4.20
,8-10,9.3,1,Rocket Empire,Matthew Cumani,J Lloyd,58.5,5,,,$11
,9-10,9.8,11,Golden Lance,A F Murphy,J Benbow,56,8,,,$101
,10-10,11.6,9,Star Watcher,P J Roche,W Price,56,2,,,$91